title,id,subCount,videoCount,viewCount,vidTitle,vidid,date,likes,dislikes,vid_views,vid_duration,vid_caption,likeRatio,startYear,startMonth,endYear,endMonth,interestChange,goodYoutuber,duration,Weighted_Sentiments
MissCrystal,UCw9rvomRHCnvT4QRu2GrLVw,55900.0,428.0,9573794.0,Estee Lauder Perfectionist Foundation | REVIEW+DEMO,7SjuYAwi3Fs,2014-10-23,288.0,18.0,29284.0,PT12M58S,False,0.9411764705882352,2014,10,2014,11,-244.55999999999986,0,778,8.326722799221384
saaammage,UCyGcJGJ_k7AUJGDfExB5MfQ,561000.0,924.0,77937925.0,BRAND NEW | ESTEE LAUDER DOUBLE WEAR CUSHION STICK FOUNDATION REVIEW,LORDasLl5Qw,2016-07-27,1655.0,77.0,121275.0,PT9M38S,False,0.9555427251732102,2016,7,2016,8,-14.570000000000164,0,578,6.502333863982449
hueyyrouge,UCn1J6PE2ki0KkXUh82VxwtA,4110.0,351.0,1026380.0,Estee Lauder Re-Nutriv Regenerating Youth [First Impression Review/Skin Care Routine] | HUEYYROUGE,nLxFo5bZazE,2017-03-16,95.0,7.0,9106.0,PT16M14S,False,0.931372549019608,2017,3,2017,3,-155.99,0,974,3.6886872837947537
Stephanie Marie,UCb4iUMjpHZCiATCCwPaO47Q,181000.0,608.0,19281606.0,NEW! Estee Lauder Double Wear Nude vs Double Wear Light | FOUNDATION REVIEW &amp; COMPARISON,zeRbbhaz9kQ,2017-07-30,775.0,35.0,51074.0,PT19M48S,False,0.9567901234567902,2017,7,2017,8,-47.614999999999895,0,1188,2.4099928650406803
LoanPhamBeauty,UC6no2LVn5tIRH5m0MP7vf4g,6510.0,244.0,928307.0,ESTEE LAUDER Double Wear Foundation | Review + Demo,RfVXI4tJwDM,2016-12-10,135.0,19.0,37299.0,PT10M15S,False,0.8766233766233766,2016,12,2016,12,34.58500000000015,1,615,8.723357620963887
Seduced by Beauty,UCcjSXn6LTNQS7Edro-m9L_A,936.0,67.0,906510.0,Estee Lauder Revitalising Supreme Global Anti-ageing creme review,BCRfqVoLWMw,2014-01-19,150.0,10.0,33537.0,PT2M49S,True,0.9375,2014,1,2014,2,-84.43499999999995,0,169,0.5512953227640917
Megan Elise💋,UC9AYMh0f6B89oLZ5ehAdZyg,5450.0,162.0,245561.0,ESTEE LAUDER Futurist Hydra Rescue Moisturizing Makeup REVIEW!,gkcN0HTjBZQ,2020-01-10,177.0,23.0,9528.0,PT32M,False,0.885,2020,1,2020,1,35.960000000000036,1,1920,3.178353048042232
LadyTee Severs,UCVDUM7XTft7AS0k4ARvHQBQ,2360.0,163.0,288057.0,Estee Lauder Futurist Hydra Rescue Moisturizing Foundation SPF 45 Review (5W1 Bronze),fRaiLpSB0TQ,2020-05-16,43.0,2.0,1039.0,PT15M16S,False,0.9555555555555556,2020,5,2020,5,-162.49999999999991,0,916,4.844919242360373
No BS Beauty,UC7zemE5pZ5lhDeW4Fs2u74g,57000.0,1838.0,12353043.0,ESTÉE LAUDER Advanced Night Repair Eye Supercharged Complex Review,lvG0aeHofNI,2018-09-26,163.0,18.0,26849.0,PT10M8S,False,0.9005524861878453,2018,9,2018,10,-107.26000000000008,0,608,2.10838450579238
Trentney Adventures,UC80zjpU0XB0mDyg94_GH_mQ,293.0,36.0,102897.0,Estee Lauder Review,JKuxT1yjVY4,2012-12-13,75.0,15.0,27120.0,PT5M45S,True,0.8333333333333334,2012,12,2012,12,-100.16500000000008,0,345,0.7095935803963734
Glamdit,UC0iEt0BgYJBFIwhX8Q_KOig,66900.0,337.0,4729383.0,NEW ESTEE LAUDER DOUBLE WEAR NUDE WATER FRESH FOUNDATION | REVIEW &amp; DEMO,U1visD785sc,2017-06-24,522.0,26.0,37771.0,PT13M2S,False,0.9525547445255474,2017,6,2017,7,62.47000000000003,1,782,5.935189155102743
Makeupshayla,UCkdoEulAR52vggIUQYemeow,755000.0,317.0,40180189.0,Estee Lauder Foundation Review | MakeupShayla,MaRmc9YQnj0,2016-09-02,4621.0,87.0,102703.0,PT8M53S,False,0.9815208156329652,2016,9,2016,9,300.03,1,533,6.535844603169039
ludscenteria,UCcx3iUVfnChnReCd-NW2Z8A,47.0,32.0,3041.0,Pleasures Estee Lauder  |  Signature Scent  |  My Perfume Story,myze7Ktah1M,2020-10-12,19.0,0.0,621.0,PT5M27S,False,1.0,2020,10,2020,10,129.93999999999994,1,327,0.4574916685240358
mhunoiii,UC5eGGyFfugLSNNo77Te7-bQ,211000.0,562.0,35451239.0,Review : Estee Lauder Perfectionist Pro Rapid Brightening เซรั่มกระจ่างใสที่แก้ปัญหาผิวแบบรอบด้าน,hD8Y8UYUALg,2020-03-31,54.0,3.0,5004.0,PT8M24S,False,0.9473684210526316,2020,3,2020,4,124.11999999999996,1,504,0.0
RockFabulous40s,UC-NfGykFgSu6PQPlvRVXIqg,1980.0,285.0,600780.0,Estee Lauder Perfectionist Youth-Infusing Makeup Review. Is It Perfect?,B3vGLaGWKc0,2018-02-07,120.0,15.0,14692.0,PT18M11S,False,0.8888888888888888,2018,2,2018,2,-61.57499999999982,0,1091,4.262588817961311
Cosmetopia Digest,UC5noBfczUg8A5uy9Uh9pqSg,4540.0,380.0,402219.0,"Estee Lauder Pure Color DESIRE ROUGE EXCESS Lipsticks Review, Swatches",D8RNtied4sY,2019-07-10,35.0,7.0,3994.0,PT6M16S,False,0.8333333333333334,2019,7,2019,7,179.38500000000008,1,376,1.9485083550511724
